,TimeStamp,USM,SUJvalues,JointValues,EndoscopePosition
45,1.63793E+12,0,0.141825 0.0516403 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79932 -0.0851498 -0.285156 -0.346382 0.75852 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
50,1.63793E+12,0,0.141889 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79934 -0.0851564 -0.285156 -0.346375 0.758574 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
55,1.63793E+12,0,0.141825 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79932 -0.0851355 -0.285161 -0.346381 0.758538 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
60,1.63793E+12,0,0.141889 0.0516515 0.0702158 0.0276588 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79932 -0.0851421 -0.285156 -0.346378 0.758592 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
65,1.63793E+12,0,0.141889 0.0516403 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79933 -0.0851393 -0.285158 -0.34638 0.75852 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
70,1.63793E+12,0,0.141889 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79933 -0.0851421 -0.285162 -0.346382 0.758646 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
77,1.63793E+12,0,0.141889 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79935 -0.0851355 -0.285152 -0.346378 0.75861 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
83,1.63793E+12,0,0.141825 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79932 -0.0851536 -0.285144 -0.346382 0.758483 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
85,1.63793E+12,0,0.141889 0.0516515 0.0702158 0.0276588 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79932 -0.0851564 -0.285151 -0.34638 0.758502 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
90,1.63793E+12,0,0.141889 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79932 -0.0851421 -0.285155 -0.34639 0.758538 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
95,1.63793E+12,0,0.141889 0.0516515 0.0702158 0.0276588 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79932 -0.0851421 -0.285162 -0.346386 0.758592 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
100,1.63793E+12,0,0.141825 0.0516515 0.0702158 0.0276588 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79934 -0.0851536 -0.285149 -0.346374 0.758538 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
104,1.63793E+12,0,0.141825 0.0516515 0.0702158 0.0276588 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79932 -0.0851355 -0.285158 -0.346384 0.75852 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
110,1.63793E+12,0,0.141889 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79935 -0.0851536 -0.285149 -0.346379 0.758538 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
115,1.63793E+12,0,0.141889 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79932 -0.0851564 -0.285147 -0.346375 0.758538 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
120,1.63793E+12,0,0.141889 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79934 -0.0851355 -0.285159 -0.346387 0.758646 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
125,1.63793E+12,0,0.141889 0.0516515 0.0702158 0.0276588 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79933 -0.0851498 -0.285151 -0.346376 0.758574 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
130,1.63793E+12,0,0.141825 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79935 -0.0851498 -0.285147 -0.346385 0.758538 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
135,1.63793E+12,0,0.141889 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79935 -0.0851536 -0.285151 -0.346381 0.758538 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
140,1.63793E+12,0,0.141825 0.0516515 0.0702158 0.0276588 0.0 0.0,0.785732 -2.12629 -0.248691 0.108219 -4.79935 -0.0851326 -0.285168 -0.346382 0.758556 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
145,1.63793E+12,0,0.141825 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12629 -0.248691 0.108219 -4.79934 -0.0851498 -0.285157 -0.346383 0.758574 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
150,1.63793E+12,0,0.141889 0.0516515 0.0702158 0.0276588 0.0 0.0,0.785732 -2.12629 -0.248691 0.108219 -4.79934 -0.0851498 -0.285152 -0.34638 0.758646 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
160,1.63793E+12,0,0.141889 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12629 -0.248691 0.108219 -4.79932 -0.0851355 -0.28516 -0.346378 0.758538 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
170,1.63793E+12,0,0.141889 0.0516515 0.0702158 0.0276588 0.0 0.0,0.785732 -2.12629 -0.248691 0.108219 -4.79931 -0.0851355 -0.285157 -0.346377 0.758483 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
180,1.63793E+12,0,0.141825 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79931 -0.0851421 -0.285155 -0.346387 0.758628 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
185,1.63793E+12,0,0.141889 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79932 -0.0851326 -0.28516 -0.346384 0.758538 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
190,1.63793E+12,0,0.141889 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.7993 -0.0851593 -0.285146 -0.346384 0.758592 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
195,1.63793E+12,0,0.141889 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79931 -0.0851498 -0.285151 -0.346384 0.758592 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
200,1.63793E+12,0,0.141889 0.0516515 0.0702158 0.0276588 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79935 -0.0851536 -0.285151 -0.346381 0.758592 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
205,1.63793E+12,0,0.141889 0.0516515 0.0702158 0.0276588 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79932 -0.0851498 -0.285153 -0.346389 0.758538 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
210,1.63793E+12,0,0.141825 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79933 -0.0851631 -0.285147 -0.346377 0.758538 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
215,1.63793E+12,0,0.141889 0.0516515 0.0702158 0.0276588 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79934 -0.0851498 -0.28516 -0.346375 0.758483 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
220,1.63793E+12,0,0.141889 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79932 -0.0851326 -0.285166 -0.346381 0.758483 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
225,1.63793E+12,0,0.141825 0.0516515 0.0702158 0.0276588 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79933 -0.0851393 -0.285161 -0.346379 0.758502 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
230,1.63793E+12,0,0.141889 0.0516515 0.0702158 0.0276588 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79932 -0.0851593 -0.28515 -0.346378 0.758592 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
235,1.63793E+12,0,0.141825 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79934 -0.0851631 -0.285144 -0.346379 0.758502 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
240,1.63793E+12,0,0.141889 0.0516515 0.0702158 0.0275629 0.0 0.0,0.785732 -2.12628 -0.248691 0.108219 -4.79935 -0.0851421 -0.285157 -0.346379 0.758538 0.0702158,0.0862328 0.0275785 0.0301487 -0.67372 0.345215 -0.653397 -0.584794 -0.78962 0.185794 -0.451795 0.507276 0.733862
